Landing Page,Query_list,Old Title,Title,Old Meta Desciption,Meta Description
https://www.g-niib.com/,"['gniib', 'g-niib', 'g niib', 'geniebiome', 'geniebiome limited', 'geniebiome ltd', 'gnib', 'genie biome', 'niib', 'gini b']", - GenieBiome Limited | ,"GenieBiome Limited,gniibg-niibg niibgeniebiomegeniebiome limitedgeniebiome ltdgnibgenie biomeniibgini b,,..,,","G-NiiB ,,,,,,,,,","G-NiiB,,,G-NiiB"
https://www.g-niib.com/assets/frontend/common/documents/gniib_coverage.pdf,"['813 ', '813', 'good health medical practices limited', '2612', '', '', '', '', '', '9']","
            ", - 813Good Health Medical Practices Limited26129,,"GNIIB813,good health medical practices limited2612,9"
https://www.g-niib.com/zh-hans,"['geniebiome limited', 'geniebiome', 'geniebiome ltd']", - GenieBiome Limited | ,GenieBiome Limited | ,"G-NiiB ,,,,,,,,,","G-NiiB,,,"
https://www.g-niib.com/zh-hans/about,['geniebiome'], - GenieBiome Limited | , GenieBiome Limited | ,"G-NiiB  GenieBiome Ltd G-NiiB2 I,G-NiiB,","G-NiiB ,2 I,,G-NiiB,"
https://www.g-niib.com/zh-hans/blog/detail/%E5%92%96%E5%95%A1%E5%B0%8D%E8%85%B8%E9%81%93%E6%98%AF%E5%A5%BD%E6%98%AF%E5%A3%9E-%E9%81%A9%E9%87%8F%E9%A3%B2%E7%94%A8%E4%BF%83%E5%8A%A9%E8%85%B8%E9%81%93%E8%A0%95%E5%8B%95,"['', '', '', '', ' ', ' ', ' ', ' ', ' ', ' ']",? - GenieBiome Limited | ,":,- ","G-NiiB ,,,,,,,,,","G-NiiB,,5,"
https://www.g-niib.com/zh-hans/blog/detail/%E5%A4%A7%E8%85%B8%E7%99%8C%E7%97%85%E8%AE%8A%E9%83%A8%E4%BD%8D%E7%97%87%E7%8B%80%E5%A4%A7%E4%B8%8D%E5%90%8C,"['', '', '', '', '', '', '', '', '', '']",  - GenieBiome Limited | ," - ,87%","G-NiiB ,,,,,,,,,","G-NiiB,,,"
https://www.g-niib.com/zh-hans/blog/detail/%E6%8E%92%E8%B5%B0%E5%AE%BF%E4%BE%BF%E5%BF%AB%E5%AE%9A%E6%85%A2-%E8%88%87%E8%85%B8%E9%81%93%E8%8F%8C%E6%9C%89%E9%97%9C,"['', '']",  ? - GenieBiome Limited | ,? | ,"G-NiiB ,,,,,,,,,","G-NiiB,,,"
https://www.g-niib.com/zh-hans/blog/detail/%E7%A0%94%E7%A9%B6-%E5%AD%95%E5%A9%A6%E7%82%8E%E7%97%87-%E5%8F%AF%E5%BD%B1%E9%9F%BF%E5%AD%A9%E5%AD%90%E5%AD%B8%E7%BF%92%E8%83%BD%E5%8A%9B,"[' ', '']",:  - GenieBiome Limited | ,: | GenieBiome Limited,"G-NiiB ,,,,,,,,,","G-NiiB,,"
https://www.g-niib.com/zh-hans/blog/detail/%E7%BE%8E%E5%9C%8B%E5%A4%A7%E5%9E%8B%E7%A0%94%E7%A9%B6-%E4%B8%89%E6%88%90%E4%B8%AD%E5%B9%B4%E4%BA%BA-%E5%A4%A7%E8%85%B8%E7%8F%BE%E7%98%9C%E8%82%89%E8%85%AB%E7%98%A4,"['', ' ', '']",:  - GenieBiome Limited | ,",:1015,50,GenieBiome Limited","G-NiiB ,,,,,,,,,","G-NiiB,,,65,45-4950"
https://www.g-niib.com/zh-hans/blog/detail/%E8%A9%95%E4%BC%B0%E5%A4%A7%E8%85%B8%E7%99%8C%E9%A2%A8%E9%9A%AA-%E5%A4%A7%E4%BE%BF%E9%9A%B1%E8%A1%802%E5%A4%A7%E5%AD%B8%E5%95%8F,"['', '', '']", 2 - GenieBiome Limited | ,"Sorry, I cannot view or check the content of the webpage as I am a text-based conversational AI language model. However, based on the title you have provided, it seems to be in traditional Chinese and the title is "" 2 - GenieBiome Limited | "". The title appears to be SEO friendly as it includes targeted keywords and is within the 80 character limit.","G-NiiB ,,,,,,,,,","G-NiiB,,G-NiiB"
https://www.g-niib.com/zh-hans/blog/detail/%E9%81%A0%E9%9B%A2%E5%A4%A7%E8%85%B8%E9%A0%91%E7%96%BE-%E5%81%A5%E5%BA%B7%E8%85%B8%E9%81%93%E7%9A%843-%E5%A4%A7%E7%89%B9%E5%BE%B5,[''], 3  - GenieBiome Limited | , 3 | GenieBiome Limited,"G-NiiB ,,,,,,,,,","G-NiiB,,,,,,G-NiiB,"
https://www.g-niib.com/zh-hans/blog/detail/%E9%95%B7%E6%96%B0%E5%86%A0%E5%85%AD%E5%A4%A7%E4%BA%9E%E5%9E%8B-%E6%9C%80%E6%98%93%E8%A2%AB%E5%BF%BD%E7%95%A5,"['', '', ' ', '', ' ', '', '', '']",  - GenieBiome Limited | ,(Long COVID):,"G-NiiB ,,,,,,,,,",",,G-NiiB,,80"
https://www.g-niib.com/zh-hans/blog/detail/7%E7%A8%AE%E4%BE%BF%E4%BE%BF%E5%BD%A2%E6%85%8B%E7%9C%8B%E5%87%BA%E8%85%B8%E9%81%93%E8%8F%8C,"['', '', '', '', '', '', '', '', '', '']",7 - GenieBiome Limited | ,",7,1-3,/","G-NiiB ,,,,,,,,,","G-NiiB,,,,,"
https://www.g-niib.com/zh-hans/blog/detail/g-niib-%E5%85%8D%E7%96%AB-%E6%A6%AE%E7%8D%B2-%E4%BA%9E%E5%A4%AA%E5%8D%80%E6%9C%80%E4%BD%B3%E7%9B%8A%E7%94%9F%E8%8F%8C-2,['gnib'],G-NiiB +  - GenieBiome Limited | ,G-NiiB +   - GenieBiome Limited | ,"G-NiiB ,,,,,,,,,","G-NiiB,,G-NiiB,+(SIM01)NutraIngredients-Asia 2022"
https://www.g-niib.com/zh-hans/blog/detail/m3crc%E5%A4%A7%E8%85%B8%E7%99%8C%E9%A2%A8%E9%9A%AA%E6%AA%A2%E6%B8%AC-%E5%9C%A8%E5%AE%B6%E9%A9%97%E8%85%B8%E8%A9%B1%E5%92%81%E6%98%93,"['    ', '', '']",M3CRC  - GenieBiome Limited | ,"M3CRC,,","G-NiiB ,,,,,,,,,","G-NiiB,,M3CRC,1,,100%"
https://www.g-niib.com/zh-hans/blog/detail/m3crc%E9%A9%97%E5%87%BA%E6%BD%9B%E4%BC%8F%E5%A4%A7%E8%85%B8%E7%99%8C-%E6%89%93%E7%A0%B4%E8%85%B8%E9%81%93%E9%83%A8%E4%BD%8D%E5%B1%80%E9%99%90,"['', '', '', '', '', '', '', ' ', '', '']",M3CRC  - GenieBiome Limited | ,M3CRC ,"G-NiiB ,,,,,,,,,","G-NiiB,,,,"
https://www.g-niib.com/zh-hans/blog/listing/all,[''], - GenieBiome Limited | ,-GenieBiome Limited | ,G-NiiB ,"DSE,,,G-NiiB,,,"
https://www.g-niib.com/zh-hans/product/g-niib-immunity,"['gb', '']",G-NiiB  +  SIM01 - GenieBiome Limited | ,"GenieBiome LimitedG-NiiB+SIM01:, | G-NiiB","G-NiiB ,,,,,,,,,","G-NiiB,,,GB,7"
https://www.g-niib.com/zh-hans/research/detail/joint-cuhk-hku-study-discovers-efficacy-novel-virus-vaccines-correlates-probiotic-bacterium-bifidobacterium-adolescentis,"['', '', '']",,:,"G-NiiB ,,,,,,,,,","G-NiiB,,,,"
https://www.g-niib.com/zh-hans/research/detail/microbiome-imbalance-influence-post-novel-virus-conditions-risk,"['', '']", ,",,","G-NiiB ,,,,,,,,,","G-NiiB,"
https://www.g-niib.com/zh-hans/research/detail/novel-virus-and-the-microbiome,[''],  ,:,"G-NiiB ,,,,,,,,,",",,G-NiiB,,"
https://www.g-niib.com/zh-hans/research/detail/prevention-treatment-post-novel-virus-conditions-cuhk-immunity-formula,[''],SIM01,"(SIM01),SIM01 ","G-NiiB ,,,,,,,,,","G-NiiB,,,SIM01,,SIM01"
https://www.g-niib.com/zh-hans/service-cover-list,"['35652868', '', '', ' ', '', ' ', '2-209']",M3CRC  - GenieBiome Limited | ,"M3CRC,()()()2-209 | GenieBiome Limited","G-NiiB ,,,,,,,,,","G-NiiB,,2-209"
https://www.g-niib.com/zh-hans/service-cover-list/hk/hong-kong-island/causeway-bay,[''],M3CRC  - GenieBiome Limited | ,M3CRC - GenieBiome Limited | https://www.g-niib.com/zh-hans/service-cover-list/hk/hong-kong-island/causeway-bay,"G-NiiB ,,,,,,,,,","G-NiiB,,,,"
https://www.g-niib.com/zh-hans/service-cover-list/hk/hong-kong-island/north-point,"['8', '']",M3CRC  - GenieBiome Limited | ,"M3CRC - GenieBiome Limited | ,8","G-NiiB ,,,,,,,,,","G-NiiB,8,"
https://www.g-niib.com/zh-hans/service-cover-list/hk/kowloon/mongkok,"['', '']",M3CRC  - GenieBiome Limited | ,"M3CRC - GenieBiome Limited | ,https://www.g-niib.com/zh-hans/service-cover-list/hk/kowloon/mongkok ","G-NiiB ,,,,,,,,,","G-NiiB,,,80"
https://www.g-niib.com/zh-hans/service-cover-list/hk/kowloon/tsim-sha-tsui,"['813', '261302-5']",M3CRC  - GenieBiome Limited | ,"M3CRC  - GenieBiome Limited | ,261302-5813","G-NiiB ,,,,,,,,,","G-NiiB,,,813"
https://www.g-niib.com/zh-hant/about,"['', 'geniebiome', 'geniebiome limited', 'geniebiome ltd', 'g niib', 'g ', 'g-niib', 'genie biome', 'gnib', 'gniib']", - GenieBiome Limited | , - G-NiiB  GenieBiome Limited ,"G-NiiB  GenieBiome Ltd G-NiiB2 I,G-NiiB,","G-NiiB,,,,"
https://www.g-niib.com/zh-hant/blog,"['6', 'g_niib    ', 'gnib', '2']", - GenieBiome Limited | ,g_niib 6gnib2: - GenieBiome Limited,G-NiiB ,"G-NiiB,,6,G-NiiB#G_NiiB #gnib #2"
https://www.g-niib.com/zh-hant/blog/detail/%E4%B8%8D%E8%B6%B33%E5%80%8B%E6%9C%88%E5%86%8D%E7%A2%BA%E8%A8%BA-%E5%85%8D%E7%96%AB%E5%8A%9B%E6%80%A5%E9%99%8D-%E6%8F%90%E9%98%B2%E4%BA%8C%E6%AC%A1%E6%84%9F%E6%9F%93,"['3', '', ' ', '', ' ', '', '', ' 3', ' ', '']",3   - GenieBiome Limited | ,",Omicron BQ.1.1XBB ,,","G-NiiB ,,,,,,,,,","G-NiiB,OmicronBQ.1.1XBB,,3,"
https://www.g-niib.com/zh-hant/blog/detail/%E4%BA%8C%E6%AC%A1%E6%84%9F%E6%9F%93%E5%80%8B%E6%A1%88%E6%80%A5%E5%8D%87-%E7%A0%94%E7%A9%B6-%E5%BE%8C%E9%81%BA%E7%97%87%E9%A2%A8%E9%9A%AA%E5%A2%9E3%E5%80%8D,"['', 'xbb ', '2', 'covid 19 ', '', '', '2', 'covid 2', 'covid ', 'covid']", :3 - GenieBiome Limited | ,"OmicronBQ.1.1XBB,-3 | ","G-NiiB ,,,,,,,,,","G-NiiB,,OmicronXBB,,,G-NiiB"
https://www.g-niib.com/zh-hant/blog/detail/%E5%85%8D%E7%96%AB%E5%8A%9B%E6%80%A5%E9%99%8D4%E5%A4%A7%E5%8E%9F%E5%9B%A0,"[' ', '', ' ', '', ' ', '', ' ', '', ' ', '']", 4 - GenieBiome Limited | ,"!,,,,GenieBiome Limited,","G-NiiB ,,,,,,,,,","G-NiiB,,,,"
https://www.g-niib.com/zh-hant/blog/detail/%E5%85%8D%E7%96%AB-sim01-%E5%BC%B7%E5%8C%96%E9%AB%94%E8%B3%AA-%E6%8F%90%E5%8D%87%E5%85%8D%E7%96%AB%E5%8A%9B-%E9%98%B2%E7%A6%A6%E6%96%B0%E5%9E%8B%E8%AE%8A%E7%A8%AExbb,"['xbb', 'xbb 1.5 ', 'xbb ', 'xbb ', 'xbb ', 'xbb ', 'xbb', '']",+SIM01   XBB - GenieBiome Limited | ,",GenieBiome Limited ,+SIM01 ,,XBB","G-NiiB ,,,,,,,,,","G-NiiB,,,,,"
https://www.g-niib.com/zh-hant/blog/detail/%E5%92%96%E5%95%A1%E5%B0%8D%E8%85%B8%E9%81%93%E6%98%AF%E5%A5%BD%E6%98%AF%E5%A3%9E-%E9%81%A9%E9%87%8F%E9%A3%B2%E7%94%A8%E4%BF%83%E5%8A%A9%E8%85%B8%E9%81%93%E8%A0%95%E5%8B%95,"['caffeine', 'decaf ', '', '', '', ' ', '', '', '', '']",?   - GenieBiome Limited | ,",(Caffeine),,(Adenosine),,,5,,,,(Decaf)","G-NiiB ,,,,,,,,,","G-NiiB,,,"
https://www.g-niib.com/zh-hant/blog/detail/%E5%96%9D%E9%85%92%E5%BE%8C%E7%9A%84%E8%85%B8%E9%81%933%E5%A4%A7%E8%AE%8A%E5%8C%96,"[' ', '', '', ' ', ' ', '', ' ', '', '', '']",3 - GenieBiome Limited | , - GenieBiome Limited | ,"G-NiiB ,,,,,,,,,","G-NiiB,,,,,G-NiiB"
https://www.g-niib.com/zh-hant/blog/detail/%E5%9A%B4%E9%98%B2%E6%96%B0%E5%9E%8B%E7%97%85%E6%AF%92%E8%88%87%E6%B5%81%E6%84%9F%E5%A4%BE%E6%93%8A,"['2023', '', ' ']",  3 - GenieBiome Limited | ,"2023,- Title: ""2023,""","G-NiiB ,,,,,,,,,","2023,G-NiiB,,"
https://www.g-niib.com/zh-hant/blog/detail/%E5%9C%B0%E4%B8%AD%E6%B5%B7%E9%A3%B2%E9%A3%9F%E6%B3%95-%E6%9C%89%E5%8A%A9%E8%85%B8%E9%81%93%E5%A5%BD%E8%8F%8C%E5%AE%9A%E6%AE%96,"['', ' ', '', '', '', '', '', '', '']",   - GenieBiome Limited | ,? | GenieBiome,"G-NiiB ,,,,,,,,,",",G-NiiB,,"
https://www.g-niib.com/zh-hant/blog/detail/%E5%A4%A7%E8%85%B8%E7%99%8C3%E5%A4%A7%E6%AA%A2%E6%B8%AC%E6%8A%80%E8%A1%93,"['', '  ', '', '', '', '', '', '', '', '']",3  - GenieBiome Limited | ,: | ,"G-NiiB ,,,,,,,,,","G-NiiB,,,,,100%M3CRC,"
https://www.g-niib.com/zh-hant/blog/detail/%E5%BE%AE%E7%94%9F%E6%85%8B%E5%86%B7g%E8%AD%98-10%E9%A0%85-%E9%BB%83%E9%87%91%E6%BA%96%E5%89%87-%E7%9B%8A%E7%94%9F%E8%8F%8C%E8%A6%81%E9%A3%9F%E5%BE%97smart,"['', ' ']","G|10,Smart! - GenieBiome Limited | ",": 10:Smart!- GenieBiome Limited | 

,,10,:

1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 

,,,Smart","G-NiiB ,,,,,,,,,","G-NiiB,,,,,,,"
https://www.g-niib.com/zh-hant/blog/detail/%E6%89%81%E5%B9%B3%E7%98%9C%E8%82%89%E6%A9%AB%E5%90%91%E7%94%9F%E9%95%B7-%E6%9C%80%E9%9B%A3%E8%BE%A8%E8%AA%8D,"['pedunculated ', 'pedunculated', 'sessile', '', '', '', '', '', '', '']",   - GenieBiome Limited | ,",","G-NiiB ,,,,,,,,,","G-NiiB,,,,,"
https://www.g-niib.com/zh-hant/blog/detail/%E6%8B%86%E8%A7%A33%E7%A8%AE%E5%A4%A7%E8%85%B8%E7%98%9C%E8%82%89-%E9%82%8A%E7%A8%AE%E6%98%93%E8%AE%8A%E7%99%8C,"['', '', '', '', '', '', '', '', '', '']",3   ? - GenieBiome Limited | ,:  GenieBiome Limited,"G-NiiB ,,,,,,,,,","G-NiiB,,10"
https://www.g-niib.com/zh-hant/blog/detail/%E6%8E%92%E8%B5%B0%E5%AE%BF%E4%BE%BF%E5%BF%AB%E5%AE%9A%E6%85%A2-%E8%88%87%E8%85%B8%E9%81%93%E8%8F%8C%E6%9C%89%E9%97%9C,"['', '', '', '', '', '', '', '', '', '']",  ? - GenieBiome Limited | ,,"G-NiiB ,,,,,,,,,","G-NiiB,,,,,,"
https://www.g-niib.com/zh-hant/blog/detail/%E6%96%B0%E5%9E%8B%E7%97%85%E6%AF%92%E6%97%A5%E5%A2%9E2-6%E8%90%AC%E5%AE%97,"['bq.1.1', 'bq 1.1', 'xbb.1.1', '2.6', '2023', 'bq', 'bq 1.1 ', 'bq.1', 'bq/g', 'omicron ']",2.6 BQ.1.1  XBB  - GenieBiome Limited | ,",2023,2.6,96%,Omicron- GenieBiome Limited | ","G-NiiB ,,,,,,,,,","G-NiiB,,,OmicronBQ.1.1XBB,"
https://www.g-niib.com/zh-hant/blog/detail/%E6%B8%9B%E4%BD%8E%E4%BA%8C%E6%AC%A1%E6%84%9F%E6%9F%93%E9%A2%A8%E9%9A%AA,"['', 'omicron ', '', '', '', '', ' ', '', '', '']",     - GenieBiome Limited | ,",,GenieBiome Limited,Omicron,,,","G-NiiB ,,,,,,,,,","G-NiiB,,3,000Omicon,"
https://www.g-niib.com/zh-hant/blog/detail/%E6%B8%AF%E5%85%A9%E6%88%90%E7%A2%BA%E8%A8%BA%E5%85%92%E7%AB%A5-%E5%BA%B7%E5%BE%A9%E5%BE%8C%E7%8F%BE%E5%BE%8C%E9%81%BA%E7%97%87,"['g to ', 'sars', 'tun', '', ' g', ' ']",  - GenieBiome Limited | ,",20%,,GenieBiome Limited,","G-NiiB ,,,,,,,,,","Deoes G-NiiB,,BA.5,"
